CaseID,weight,XSPANISH,INTERNET,Q1,Q2_A,Q2_B,Q2_C,Q2_D,Q2_E,Q2_Refused,Q3,Q4,Q5_A,Q5_B,Q5_C,Q5_D,Q5_E,Q5_F,Q5_Refused,Q7,Q9,Q10,Q11,Q12,Q13,Q14,INTMOB,INTFREQ,SMART1,SNSINT2,PPAGE,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPMSACAT,PPSTATEN,PPWORK
369,.8593,1,2,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,3,3,3,2,3,6,2,4,2,2,55,4,1,1,19,1,93,1
370,1.2881,1,1,2,0,0,0,1,0,0,5,2,1,0,0,0,0,0,0,6,2,1,2,5,2,6,1,2,1,1,43,4,3,2,17,1,91,1
372,.8,1,1,6,0,0,0,0,1,0,4,3,0,1,0,0,0,0,0,6,3,2,1,5,2,6,2,4,1,1,58,2,1,1,7,1,93,7
373,.849,1,1,2,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,2,3,1,2,1,2,1,2,2,1,1,85,4,2,1,12,1,93,5
374,1.6712,1,1,5,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,2,2,2,2,3,1,1,1,1,23,3,3,1,12,1,93,4
375,1.3071,1,1,6,0,0,0,1,0,0,5,1,0,0,0,0,0,1,0,6,2,2,1,5,2,6,1,2,1,1,58,1,1,1,11,0,74,1
377,.8989,1,2,2,0,0,0,1,0,0,5,3,0,1,1,0,0,0,0,6,2,1,2,2,2,3,1,2,1,1,64,4,2,2,14,1,74,5
378,1.9947,1,1,2,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,2,1,2,2,2,2,4,1,1,1,1,18,1,4,1,19,1,21,1
379,1.1904,1,1,2,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,2,2,2,2,1,2,2,1,2,1,1,24,3,1,1,16,1,42,1
380,.4371,1,1,6,0,0,0,0,1,0,5,3,1,0,1,0,0,0,0,6,3,3,3,5,3,6,1,2,1,2,34,3,5,1,12,1,21,7
381,1.3879,1,1,2,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,1,1,1,2,1,2,6,1,2,1,2,33,3,2,2,11,1,74,1
382,.817,1,1,6,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,6,-1,3,3,1,2,6,1,5,1,2,78,2,1,2,18,1,23,2
